name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Ottawa,Canada",2024-01-02,0.7,-5.8,-2.2,-4.6,-11.3,-7.4,-6,75.6,0,0,0,,0,0,34.6,23.4,217.4,1015.5,60.9,24,29.5,2.7,2,10,2024-01-02T07:42:44,2024-01-02T16:30:51,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-03,2.7,0,1,-0.1,-3.8,-2.2,-2.1,80,0,0,0,snow,0.5,0.1,31.7,14.5,225.1,1012.2,89.3,22.3,16.4,1.3,1,10,2024-01-03T07:42:43,2024-01-03T16:31:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-04,0.7,-11.3,-7.5,-2.3,-17.1,-13.7,-12.2,69.6,0.364,100,16.67,snow,0.4,0.8,44.3,29.8,320,1020.1,46.3,23.3,41,3.6,2,10,2024-01-04T07:42:40,2024-01-04T16:32:48,0.78,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-05,-1.8,-12.1,-6.8,-6,-17.5,-11.5,-10.2,76.7,0.166,100,4.17,snow,0,0.4,35.3,20.4,244.5,1022.8,70.4,23.5,25.9,2.2,1,10,2024-01-05T07:42:33,2024-01-05T16:33:49,0.81,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-06,-2.3,-10.2,-8.1,-5.3,-19.1,-15.2,-12.5,71.1,0.885,100,20.83,snow,2.3,2.2,40.5,27.7,66.2,1021.3,81,19,19.7,1.7,1,10,2024-01-06T07:42:24,2024-01-06T16:34:52,0.85,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-07,-4.8,-9.9,-6.7,-5.1,-17.1,-12,-9.1,82.8,5.223,100,75,snow,10.9,9,43.2,21.8,54.8,1010.6,90,11.6,13.4,1.2,1,10,2024-01-07T07:42:13,2024-01-07T16:35:57,0.88,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
"Ottawa,Canada",2024-01-08,-1.9,-5.9,-3.7,-2.2,-10.6,-7.2,-7,78.1,0,0,0,,0,10.5,20.2,14.4,275.4,1026.3,77.3,23.5,24.8,2.3,1,10,2024-01-08T07:41:59,2024-01-08T16:37:03,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"CXKE,CYOW,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-09,-1,-6.7,-4.7,-7.1,-15.4,-11.6,-7.2,82.6,8.499,100,41.67,"rain,freezingrain,snow",18.3,12.1,55.3,39,79.5,1016.5,93.5,14.2,12.5,1.1,1,10,2024-01-09T07:41:42,2024-01-09T16:38:11,0.94,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"CXKE,CYOW,CYND,E3670,71063099999,71628099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-10,4.9,-4.8,1.1,1.9,-12.2,-3.3,-1.4,84,7.939,100,37.5,"rain,snow",8.2,13,52.9,34.7,256.6,986,86.1,18,27.8,2.4,2,10,2024-01-10T07:41:22,2024-01-10T16:39:20,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"CXKE,CYOW,E3670,71628099999,71063099999,CTCK,CXOA,71304199999,71300099999"
"Ottawa,Canada",2024-01-11,-4.8,-7.1,-6,-5.8,-12.9,-10.2,-9.5,76.4,0.543,100,37.5,snow,0.9,8.9,36.6,20.1,296.2,1008.8,76,19,21.8,1.9,1,10,2024-01-11T07:41:00,2024-01-11T16:40:31,0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"CXKE,E3670,71063099999,71628099999,CTCK,CXOA,71300099999"
