datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations
2024-01-09,1704776400,-1.0,-6.7,-4.7,-7.1,-15.4,-11.6,-7.2,82.6,8.499,100.0,41.67,"['rain', 'freezingrain', 'snow']",18.3,12.1,55.3,39.0,79.5,1016.5,93.5,14.2,12.5,1.1,1.0,07:41:42,1704804102,16:38:11,1704836291,0.94,"Snow, Rain, Freezing Drizzle/Freezing Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"['CXKE', 'CYOW', 'CYND', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-10,1704862800,4.9,-4.8,1.1,1.9,-12.2,-3.3,-1.4,84.0,7.939,100.0,37.5,"['rain', 'snow']",8.2,13.0,52.9,34.7,256.6,986.0,86.1,18.0,27.8,2.4,2.0,07:41:22,1704890482,16:39:20,1704922760,0.97,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"['CXKE', 'CYOW', 'E3670', '71628099999', '71063099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-11,1704949200,-4.8,-7.1,-6.0,-5.8,-12.9,-10.2,-9.5,76.4,0.543,100.0,37.5,['snow'],0.9,8.9,36.6,20.1,296.2,1008.8,76.0,19.0,21.8,1.9,1.0,07:41:00,1704976860,16:40:31,1705009231,0.0,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
2024-01-12,1705035600,-4.8,-10.7,-6.3,-5.2,-14.4,-10.9,-10.8,71.2,0.015,100.0,4.17,['snow'],0.3,9.0,46.4,33.1,62.6,1019.3,68.6,22.0,39.7,3.3,2.0,07:40:36,1705063236,16:41:43,1705095703,0.04,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,snow,"['CXKE', 'CYOW', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-13,1705122000,2.1,-7.0,-2.0,-2.6,-16.6,-8.5,-4.3,85.1,16.979,100.0,66.67,"['rain', 'snow']",31.3,31.8,60.8,38.8,131.2,991.3,91.2,8.5,10.9,1.0,1.0,07:40:09,1705149609,16:42:57,1705182177,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"['CXKE', 'CYOW', 'E3670', '71628099999', '71063099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-14,1705208400,-3.0,-8.1,-4.8,-9.5,-14.1,-11.6,-10.6,64.3,0.095,100.0,12.5,['snow'],1.8,36.6,52.9,37.7,245.5,1002.7,77.7,22.1,36.3,3.3,2.0,07:39:39,1705235979,16:44:12,1705268652,0.11,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
2024-01-15,1705294800,-7.1,-12.1,-9.3,-11.8,-19.0,-15.9,-15.1,63.3,0.0,0.0,0.0,['snow'],0.1,37.3,38.9,24.2,226.3,1018.1,55.8,24.0,42.7,3.8,2.0,07:39:07,1705322347,16:45:28,1705355128,0.15,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
2024-01-16,1705381200,-7.3,-15.4,-10.4,-7.3,-19.6,-13.6,-13.2,80.4,1.732,100.0,37.5,['snow'],3.0,36.8,14.4,17.4,179.8,1014.2,81.5,14.5,13.5,1.2,1.0,07:38:32,1705408712,16:46:45,1705441605,0.18,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['CXKE', 'CYOW', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-17,1705467600,-8.9,-17.8,-12.8,-14.7,-24.6,-18.7,-16.8,72.7,0.0,0.0,0.0,['snow'],0.0,38.2,33.1,20.6,226.6,1009.7,60.4,24.0,23.5,2.0,1.0,07:37:55,1705495075,16:48:03,1705528083,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['CXKE', 'CYOW', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-18,1705554000,-6.8,-11.7,-9.9,-7.2,-18.0,-13.6,-13.9,72.6,0.0,0.0,0.0,,0.0,38.4,27.7,14.7,235.9,1015.4,75.7,23.4,41.8,3.6,2.0,07:37:16,1705581436,16:49:23,1705614563,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
2024-01-19,1705640400,-9.1,-17.9,-14.9,-15.9,-25.3,-22.0,-20.0,65.9,0.0,0.0,0.0,,0.0,37.5,23.0,18.7,337.7,1017.8,58.8,24.0,44.9,3.9,2.0,07:36:34,1705667794,16:50:43,1705701043,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['CXKE', 'CYOW', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71304199999', '71300099999']"
2024-01-20,1705726800,-10.9,-16.9,-13.6,-18.2,-25.7,-21.3,-17.9,70.2,0.033,100.0,12.5,['snow'],0.8,36.8,37.1,26.1,302.0,1018.3,84.4,20.5,44.0,3.8,2.0,07:35:50,1705754150,16:52:04,1705787524,0.32,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
2024-01-21,1705813200,-9.8,-17.8,-14.0,-14.1,-25.6,-19.9,-18.6,68.8,0.0,0.0,0.0,,0.0,37.3,27.7,18.4,275.7,1028.9,42.3,21.5,49.1,4.4,4.0,07:35:04,1705840504,16:53:26,1705874006,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['CXKE', 'E3670', '71063099999', '71628099999', 'CTCK', 'CXOA', '71300099999']"
